CrashID,State,Day,Month,Year,Hour,Minute,Crash_Type,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Articulated_Truck_Involvement,Speed_Limit,Road_User,Gender,Age
1201603100065,NSW,10,3,2016,17,5,Single,No,No,No,100,Driver,Male,87
6201603100008,TAS,10,3,2016,18,10,Single,No,No,No,100,Passenger,Female,26
3201603110045,QLD,11,3,2016,7,0,Single,No,No,No,100,Passenger,Male,74
1201603110066,NSW,11,3,2016,10,30,Pedestrian,No,No,No,60,Pedestrian,Female,65
1201603110068,NSW,11,3,2016,12,0,Multiple,No,No,No,60,Motorcycle rider,Male,59
1201603110067,NSW,11,3,2016,14,30,Multiple,No,Yes,No,100,Driver,Male,32
3201603110046,QLD,11,3,2016,23,0,Single,No,No,No,60,Driver,Male,21
4201603120012,SA,12,3,2016,6,10,Multiple,No,No,No,90,Passenger,Male,41
4201603120013,SA,12,3,2016,6,30,Single,No,No,No,50,Motorcycle rider,Male,31
1201603120069,NSW,12,3,2016,7,40,Multiple,No,Yes,No,80,Driver,Female,22
2201603120066,VIC,12,3,2016,10,5,Single,No,No,No,50,Motorcycle rider,Male,44
6201603120009,TAS,12,3,2016,12,25,Single,No,No,No,100,Motorcycle rider,Male,24
5201603120036,WA,12,3,2016,15,15,Single,No,No,No,110,Motorcycle rider,Male,29
3201603130047,QLD,13,3,2016,2,0,Single,No,No,No,60,Motorcycle rider,Male,33
1201603130070,NSW,13,3,2016,10,30,Multiple,No,No,No,100,Driver,Male,82
1201603130071,NSW,13,3,2016,17,50,Multiple,No,No,No,110,Motorcycle rider,Male,18
2201603140067,VIC,14,3,2016,10,40,Multiple,No,No,No,80,Motorcycle rider,Male,69
2201603140068,VIC,14,3,2016,11,10,Single,No,No,No,100,Bicyclist,Male,66
3201603140048,QLD,14,3,2016,18,0,Multiple,No,No,No,80,Bicyclist,Male,42
3201603140049,QLD,14,3,2016,21,0,Single,No,No,No,60,Motorcycle rider,Male,44
4201603150014,SA,15,3,2016,10,30,Multiple,No,No,Yes,100,Bicyclist,Male,61
1201603150072,NSW,15,3,2016,15,40,Multiple,Yes,No,No,60,Driver,Male,20
2201603150069,VIC,15,3,2016,16,12,Single,No,No,No,50,Motorcycle rider,Male,58
5201603150037,WA,15,3,2016,21,7,Single,No,No,No,110,Driver,Male,48
1201603150073,NSW,15,3,2016,22,30,Multiple,No,No,Yes,80,Driver,Male,19
3201603160050,QLD,16,3,2016,8,0,Multiple,No,No,No,60,Driver,Male,88
7201603160007,NT,16,3,2016,13,20,Multiple,No,No,Yes,130,Motorcycle rider,Male,27
1201603170074,NSW,17,3,2016,7,30,Multiple,No,No,Yes,100,Driver,Male,37
3201603170051,QLD,17,3,2016,14,0,Pedestrian,No,No,No,50,Pedestrian,Male,92
2201603180070,VIC,18,3,2016,13,9,Single,No,No,No,110,Driver,Male,83
1201603180075,NSW,18,3,2016,17,45,Single,No,No,No,100,Driver,Female,49
7201603180008,NT,18,3,2016,21,0,Single,No,No,No,110,Driver,Male,30
1201603190076,NSW,19,3,2016,3,15,Single,No,No,No,100,Driver,Male,17
2201603190071,VIC,19,3,2016,4,0,Single,No,No,No,90,Driver,Male,23
5201603190038,WA,19,3,2016,10,45,Single,No,No,No,110,Motorcycle rider,Male,48
1201603200078,NSW,20,3,2016,1,20,Single,No,No,No,70,Driver,Male,76
6201603200010,TAS,20,3,2016,13,37,Multiple,No,No,No,50,Driver,Male,77
1201603200077,NSW,20,3,2016,20,35,Multiple,No,No,No,100,Driver,Male,38
3201603210052,QLD,21,3,2016,1,0,Single,No,No,No,100,Driver,Male,19
1201603210080,NSW,21,3,2016,14,30,Multiple,No,Yes,No,110,Driver,Male,26
2201603210072,VIC,21,3,2016,14,40,Multiple,No,No,No,100,Passenger,Female,80
5201603210039,WA,21,3,2016,15,30,Multiple,Yes,No,No,110,Driver,Male,70
1201603210079,NSW,21,3,2016,17,34,Multiple,No,Yes,No,80,Driver,Female,25
2201603210073,VIC,21,3,2016,20,58,Single,No,No,No,70,Motorcycle rider,Male,26
3201603220053,QLD,22,3,2016,15,0,Pedestrian,No,No,No,50,Pedestrian,Male,1
1201603220081,NSW,22,3,2016,16,55,Multiple,No,Yes,No,50,Driver,Male,88
5201603230040,WA,23,3,2016,21,0,Multiple,No,No,Yes,110,Driver,Female,24
1201603240082,NSW,24,3,2016,2,44,Multiple,No,No,Yes,100,Driver,Male,27
